"id","name","user_name","user_stars","comment_time","comment_location","content","score","url","is_use"
"77","永不消逝的电波","韦韦61",,"28/7/2021","上海站","光影效果，舞者表演，非常精彩！","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"79","永不消逝的电波","Cookie_Lynn",,"6/8/2021","上海站","反正我说不出她有任何一点毛病，看一场哭一场。心目中的剧场演出天花板！","0.687958","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"81","永不消逝的电波","阿萌Yolanda-Kwok_0",,"5/8/2021","上海站","舞美灯光设计简直太棒了。配上音乐虽然看不懂专业的舞蹈。但是完全进入故事了。很喜欢电梯那场戏 ","0.999951","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"82","永不消逝的电波","麦子02ZkO",,"5/8/2021","上海站","形式很新颖，表演的感染力很强。作为舞剧，结合了美感和故事性。","0.999963","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"83","永不消逝的电波","林樟樟",,"5/8/2021","上海站","声光影的结合就不说了，太震撼了……最打动我的是后半场，节奏突然加快，紧张的氛围烘托出革命者们的坚定、机敏和勇气，真的屡屡破防哭湿口罩……唯一不好的点就是二楼座位会遮挡部分靠近舞台天花板的屏幕，如果不是没座位了不建议买二楼","0.999907","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"84","永不消逝的电波","nwnxhmmj",,"3/8/2021","上海站","艺术表达的角度很赞 每个演员也都很有职业精神 大家都非常棒 电波的声音出线时真的很震撼人心！小遗憾的是作为朱姐粉丝没有看来朱姐的场","0.999989","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"85","永不消逝的电波","废柴狐",,"2/8/2021","上海站","太棒了，想二刷","0.999929","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"86","永不消逝的电波","小团子8r",,"2/8/2021","上海站","故事很完整，舞美设计很用心，演员表现力很棒，虽然地方很远，但是是非常值得的演出！","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"87","永不消逝的电波","麦子",,"2/8/2021","南昌站","热爱祖国伟大奋斗","0.998535","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"88","永不消逝的电波","麦子6Nrf7",,"1/8/2021","无锡站","有生之年系列","0.999318","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"89","永不消逝的电波","麦子",,"1/8/2021","北京站","我永远喜欢朱洁静5","0.999887","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"90","永不消逝的电波","麦子",,"1/8/2021","上海站","唯一的遗憾是没有买前排的票","0.988849","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"92","永不消逝的电波","Kathy",,"16/8/2021","上海站","震撼，太好看了","0.99999","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"93","永不消逝的电波","跳跳糖不够甜",,"15/8/2021","上海站","一部不管抱有多大期待都不会失望的剧！ 长河无声奔去，唯爱与信念永存！","0.999755","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"94","永不消逝的电波","麦子034Im",,"15/8/2021","上海站","是会再看一遍的舞剧","0.997791","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"96","永不消逝的电波","雪莲",,"14/8/2021","上海站","演出结束了，虽然今天是B角，演员功底还是很扎实的，总的来说，这部舞剧，舞美和灯光都很漂亮，演员阵容强大，不愧是经典之作。","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"97","永不消逝的电波","麦子",,"12/8/2021","上海站","舞者功力深厚，舞台灯光效果好，就是美琪大剧院座位空间太小，连小个子的人脚都觉得放得不舒服。","0.840218","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"100","永不消逝的电波","麦子",,"11/8/2021","上海站","终于知道舞踏是可以打动人的","0.994038","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"102","永不消逝的电波","Choice喜欢吃吃吃",,"9/8/2021","上海站","夸一夸朱洁静和王家俊的双人舞，后半场视效真棒！尾声看到李侠一个人坐在情报站发电报，感慨万千","0.999925","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"103","永不消逝的电波","麦子",,"8/8/2021","上海站","舞蹈很好，女主应该是配角，有点和男主抢戏","0.997668","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"104","永不消逝的电波","烈烈",,"7/8/2021","上海站","从演员到舞美，非常有表现力，有张力，相互烘托，相互映衬，强推?","0.999991","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"105","永不消逝的电波","麦子",,"7/8/2021","上海站","晨光曲和回忆双人舞都是yyds，最后告别双人舞那里几乎看哭。好的艺术不光有精巧的展现形式，还要有感染人心的情感内核，电波做到了。","0.999596","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"106","永不消逝的电波","麦子23JvT",,"6/8/2021","上海站","祝觉盛宴，很感人。","0.999986","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"107","永不消逝的电波","音乐剧王妃",,"23/8/2021","南京站","救命我从没想过我看舞剧会哭，以为自己是个木头看什么都很理智，但看到王老师和朱姐的诠释我真的哭的不行，长河无声奔去，唯爱与信念永存，这句话至今是是我最爱的戏剧相关top3","0.999146","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"108","永不消逝的电波","0597XqukuB",,"23/8/2021","上海站","现场氛围很好，演员舞姿优美，剧情构思巧妙严谨，整场效果绝佳","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"111","永不消逝的电波","lis221",,"22/8/2021","上海站","舞美灯光和舞蹈编排都很赞。 渔光曲那段真的绝美，上海风情、时代烙印凸显。 演员都很赞","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"112","永不消逝的电波","EmmaWMAQ",,"21/8/2021","天津站","主义的光辉照耀、引领一代人","0.99974","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"114","永不消逝的电波","诸葛听",,"19/8/2021","上海站","很特别，舞美效果不错，就是舞蹈的表现力欠缺","0.999834","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"115","永不消逝的电波","朕尚未名",,"19/8/2021","上海站","小裁缝之死承包泪点","0.123433","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"116","永不消逝的电波","风起天阑",,"19/8/2021","成都站","非常棒的演出","0.99999","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"117","永不消逝的电波","麦子6UbtR",,"18/8/2021","上海站","上海的又一部新力作，从舞美、服装、编排到演员表演都可圈可点，必将成为经典","0.999966","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"118","永不消逝的电波","蕾",,"17/8/2021","上海站","慕名而来，确实值得票价","0.982611","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"119","永不消逝的电波","麦子",,"17/8/2021","上海站","绝对要二刷！","0.177135","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"120","永不消逝的电波","麦子",,"26/8/2021","上海站","复原凶杀现场的一段，真是神来之笔。舞者还有主创们真年轻啊，感觉是国内一流的团队","0.999551","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"124","永不消逝的电波","麦子04P1r",,"25/8/2021","上海站","天花板！各种意义的天花板！","0.9796","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"126","永不消逝的电波","麦子",,"23/8/2021","西安站","第一次看，特别震撼，主题好，剧情好，看到最后很感动?","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"127","永不消逝的电波","麦子6XRNV",,"27/8/2021","上海站","电波值得 不枉我背着重书赶场子 舞蹈竟然也可以将故事诠释地这么完美 眼泪和鸡皮疙瘩都挂不住了 当我意识到 牺牲是存在过的 “长河无声奔去 唯爱与信念永存”","0.99991","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"130","永不消逝的电波","麦子0eMNo",,"26/8/2021","上海站","上乘之作！礼品！","0.999683","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"131","永不消逝的电波","138189286557",,"3/9/2021","上海站","看了三遍，百看不厌","0.999951","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"132","永不消逝的电波","会炸的鱼雷",,"2/9/2021","上海站","永不消逝的电波 YYDS！","0.639574","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"135","永不消逝的电波","麦子",,"27/8/2021","上海站","这是我买了三次票才看到的舞剧，只想说，一切都是值得的，开场氛围，动作设计，场景布置，舞者整齐划一的动作，适当的字幕和音乐，无一不紧扣人心，枪声让人落泪，情感让人感动，这是我近两年看到最好的演出","0.999992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"136","永不消逝的电波","麦子0eACM",,"27/8/2021","上海站","第一场舞剧 算是超出预期！表现形式相当精彩多样！值得买前排座位！","0.999426","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"137","永不消逝的电波","Mortimer83",,"27/8/2021","上海站","长河无故奔去，唯爱与信念永存✨ 非常喜欢这部舞剧，充满感动","0.999912","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"138","永不消逝的电波","麦子1fpI5",,"27/8/2021","上海站","2020年疫情的时候，有幸看了线上的录播，当时就被剧情，舞蹈和舞美所吸引，非常优秀，当时就说如果可以一定要去看一次现场，终于时隔一年再次在剧场里看到了，虽然不是a卡，但是人物角色同样演绎的淋漓尽致，如果有机会可以二刷?","0.999986","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"139","永不消逝的电波","川儿",,"4/9/2021","石家庄站","剧情紧凑，演员情绪饱满，舞台效果超棒～很感人也很震撼。","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"140","永不消逝的电波","小山",,"4/9/2021","石家庄站","出来之后久久没有平复，暂且缓一下来写这条评价。第一次看舞剧，从开始到结尾注意力从来没丢过，到最后泪流满面，口罩都给湿了。打光到舞台设计、音响，完美，剧情更不必说。演员真好，赵晓光牺牲那里开始哭，到谢幕止不住的泪。肯定会二刷三刷。","0.999936","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
